1	BivalentEnhancer
2	Quiescent1
3	Quiescent2
4	FlankingTSS
5	ActiveTSS
6	OnlyH3K27ac
7	ActiveEnhancer
8	WeakEnhancer
9	FlankingTSSUpstream
